Molecule_ID,E_ST,condition E_ST,S₁,condition S₁,T₁,condition T₁
TADF-M-00640,146.0,simulation,,,,
TADF-M-02448,190.0,simulation,2410.0,simulation,2220.0,simulation
TADF-M-00393,130.0,simulation,2650.0,simulation,2490.0,simulation
TADF-M-01253,160.0,simulation,2510.0,simulation,2350.0,simulation
TADF-M-00655,500.0,simulation,,,,
TADF-M-00656,410.0,simulation,,,,
TADF-M-00657,290.0,simulation,,,,
TADF-M-00669,6.1000000000000005,simulation,,,,
TADF-M-02455,,,2340.0,simulation,2140.0,simulation
TADF-M-02456,,,2220.0,simulation,2080.0,simulation
TADF-M-00694,50.0,simulation,,,,
TADF-M-00672,99.0,simulation,,,,
TADF-M-00311,35.0,simulation,,,,
TADF-M-00673,35.0,simulation,,,,
TADF-M-00093,1.0,simulation,,,,
TADF-M-00092,10.0,simulation,2760.0,simulation,2750.0,simulation
TADF-M-00646,16.0,simulation,,,,
TADF-M-00718,210.0,simulation,,,,
TADF-M-00716,210.0,simulation,,,,
TADF-M-00252,240.0,simulation,3200.0,simulation,2870.0,simulation
TADF-M-00717,220.0,simulation,,,,
TADF-M-00317,220.0,simulation,,,,
TADF-M-00253,170.0,simulation,,,,
TADF-M-00486,320.0,simulation,3169.0,simulation,,
TADF-M-00163,40.0,simulation,2450.0,simulation,2260.0,simulation
TADF-M-02495,240.0,simulation,2820.0,simulation,2580.0,simulation
TADF-M-02496,50.0,simulation,2570.0,simulation,2520.0,simulation
TADF-M-00724,,,2369.0,simulation,2359.0,simulation
TADF-M-00725,,,2327.0,simulation,2319.0,simulation
TADF-M-02475,,,3280.0,simulation,3080.0,simulation
TADF-M-02388,,,3170.0,simulation,3080.0,simulation
TADF-M-02476,,,3000.0,simulation,2760.0,simulation
TADF-M-00820,,,2880.0,simulation,2830.0,simulation
TADF-M-00821,,,2940.0,simulation,2900.0,simulation
TADF-M-00858,330.0,simulation,,,1990.0,simulation
TADF-M-00859,270.0,simulation,,,2270.0,simulation
TADF-M-00860,450.0,simulation,,,2310.0,simulation
TADF-M-00861,250.0,simulation,,,2230.0,simulation
TADF-M-00862,240.0,simulation,,,2560.0,simulation
TADF-M-00863,170.0,simulation,,,2480.0,simulation
TADF-M-00857,70.0,simulation,,,,
TADF-M-02509,520.0,simulation,3290.0,simulation,,
TADF-M-00880,,,,,3120.0,simulation
TADF-M-00907,,,2920.0,simulation,2860.0,simulation
TADF-M-00185,,,3060.0,simulation,3010.0,simulation
TADF-M-02534,450.0,simulation,,,,
TADF-M-02535,170.0,simulation,,,,
TADF-M-00927,26.0,simulation,,,,
TADF-M-00928,23.0,simulation,,,,
TADF-M-01031,180.0,simulation,,,,
TADF-M-02538,190.0,simulation,,,,
TADF-M-02539,170.0,simulation,,,,
TADF-M-02540,130.0,simulation,,,,
TADF-M-00953,,,3350.0,simulation,2740.0,simulation
TADF-M-00951,,,2850.0,simulation,2750.0,simulation
TADF-M-00952,,,3070.0,simulation,2860.0,simulation
TADF-M-00954,30.0,simulation,,,2790.0,simulation
TADF-M-00956,70.0,simulation,,,2820.0,simulation
TADF-M-02541,220.0,simulation,3180.0,simulation,2960.0,simulation
TADF-M-02542,150.0,simulation,2950.0,simulation,2800.0,simulation
TADF-M-02543,,,,,5400.0,simulation
TADF-M-02544,,,,,5600.0,simulation
TADF-M-02545,,,,,5800.0,simulation
TADF-M-02550,,,2600.0,simulation,2530.0,simulation
TADF-M-02551,,,2340.0,simulation,2310.0,simulation
TADF-M-00976,600.0,simulation,3250.0,simulation,2650.0,simulation
TADF-M-00977,400.0,simulation,3050.0,simulation,2650.0,simulation
TADF-M-02555,81.0,simulation,,,,
TADF-M-02556,91.0,simulation,,,,
TADF-M-02557,70.0,simulation,,,,
TADF-M-02558,75.0,simulation,,,,
TADF-M-00984,210.0,simulation,,,,
TADF-M-00985,220.0,simulation,,,,
TADF-M-00986,270.0,simulation,,,,
TADF-M-00988,100.0,simulation,2770.0,simulation,2670.0,simulation
TADF-M-00989,50.0,simulation,2860.0,simulation,2810.0,simulation
TADF-M-00990,60.0,simulation,2760.0,simulation,2700.0,simulation
TADF-M-00991,60.0,simulation,2840.0,simulation,2780.0,simulation
TADF-M-02561,,,2960.0,simulation,2810.0,simulation
TADF-M-02562,,,2860.0,simulation,2810.0,simulation
TADF-M-00996,178.0,simulation,2859.0,simulation,,
TADF-M-00997,19.0,simulation,2548.0,simulation,,
TADF-M-00998,23.0,simulation,2607.0,simulation,,
TADF-M-00202,400.0,simulation,3340.0,simulation,3130.0,simulation
TADF-M-01007,200.0,simulation,3270.0,simulation,,
TADF-M-01008,160.0,simulation,3160.0,simulation,,
TADF-M-00211,,,3130.0,simulation,2890.0,simulation
TADF-M-01009,,,3060.0,simulation,2900.0,simulation
TADF-M-01010,,,2970.0,simulation,2860.0,simulation
TADF-M-02563,,,3700.0,simulation,3060.0,simulation
TADF-M-02564,,,3660.0,simulation,3050.0,simulation
TADF-M-02565,,,3470.0,simulation,2950.0,simulation
TADF-M-01057,,,3080.0,simulation,2960.0,simulation
TADF-M-01058,,,3020.0,simulation,3000.0,simulation
TADF-M-01067,5.0,simulation,1978.0,simulation,1973.0,simulation
TADF-M-01069,,,3145.0,simulation,2678.0,simulation
TADF-M-01070,,,3043.0,simulation,2581.0,simulation
TADF-M-01071,,,3052.0,simulation,2599.0,simulation
TADF-M-01072,386.0,simulation,3384.0,simulation,,
TADF-M-01073,94.0,simulation,3386.0,simulation,,
TADF-M-01191,50.0,simulation,2460.0,simulation,2140.0,simulation
TADF-M-01192,1.0,simulation,2076.0,simulation,2075.0,simulation
TADF-M-00056,30.0,simulation,,,,
TADF-M-00054,18.0,simulation,,,,
TADF-M-00055,15.0,simulation,,,,
TADF-M-00210,148.0,simulation,,,,
TADF-M-01197,82.0,simulation,,,,
TADF-M-01198,55.0,simulation,,,,
TADF-M-01180,,,,,2610.0,simulation
TADF-M-01181,,,,,2580.0,simulation
TADF-M-01200,230.0,simulation,,,,
TADF-M-01201,250.0,simulation,,,,
TADF-M-01203,390.0,simulation,,,,
TADF-M-01206,,,3160.0,simulation,3130.0,simulation
TADF-M-01214,10.0,simulation,2540.0,simulation,2530.0,simulation
TADF-M-01215,50.0,simulation,2290.0,simulation,2240.0,simulation
TADF-M-02604,120.0,simulation,2595.0,simulation,2029.9999999999998,simulation
TADF-M-01219,110.0,simulation,2670.0,simulation,2560.0,simulation
TADF-M-01220,220.0,simulation,2720.0,simulation,2500.0,simulation
TADF-M-01221,190.0,simulation,2670.0,simulation,2480.0,simulation
TADF-M-01240,150.0,simulation,,,,
TADF-M-01241,90.0,simulation,,,,
TADF-M-01242,70.0,simulation,,,,
TADF-M-01248,250.0,simulation,,,,
TADF-M-01249,460.0,simulation,,,,
TADF-M-01250,130.0,simulation,,,,
TADF-M-02638,10.0,simulation,,,,
TADF-M-02639,10.0,simulation,,,,
TADF-M-01084,,,2170.0,simulation,1970.0,simulation
TADF-M-00214,10.0,simulation,2960.0,simulation,,
TADF-M-01090,300.0,simulation,3080.0,simulation,,
TADF-M-01091,210.0,simulation,3100.0,simulation,,
TADF-M-00212,320.0,simulation,3150.0,simulation,,
TADF-M-01092,300.0,simulation,3130.0,simulation,,
TADF-M-02583,60.8,simulation,2840.3999999999996,simulation,3145.1,simulation
TADF-M-02584,134.8,simulation,2877.4,simulation,2831.1000000000004,simulation
TADF-M-02585,61.0,simulation,2869.6000000000004,simulation,2859.6,simulation
TADF-M-01093,,,2710.0,simulation,2630.0,simulation
TADF-M-01094,,,2660.0,simulation,2590.0,simulation
TADF-M-01095,,,2830.0,simulation,2660.0,simulation
TADF-M-01096,,,2850.0,simulation,2670.0,simulation
TADF-M-01101,,,3080.0,simulation,1950.0,simulation
TADF-M-01102,,,3060.0,simulation,1960.0,simulation
TADF-M-01103,,,3180.0,simulation,2880.0,simulation
TADF-M-00753,60.0,simulation,,,,
TADF-M-00754,90.0,simulation,,,,
TADF-M-02589,150.0,simulation,,,,
TADF-M-02590,130.0,simulation,,,,
TADF-M-02591,110.0,simulation,,,,
TADF-M-02157,,,2900.0,simulation,2800.0,simulation
TADF-M-02592,,,2940.0,simulation,2830.0,simulation
TADF-M-02593,,,2900.0,simulation,2820.0,simulation
TADF-M-01182,80.0,simulation,2920.0,simulation,2840.0,simulation
TADF-M-01183,20.0,simulation,2430.0,simulation,2410.0,simulation
TADF-M-01184,20.0,simulation,2360.0,simulation,2340.0,simulation
TADF-M-01185,30.0,simulation,2830.0,simulation,2800.0,simulation
TADF-M-01186,20.0,simulation,2250.0,simulation,2230.0,simulation
TADF-M-02594,9.0,simulation,2522.0,simulation,2513.0,simulation
TADF-M-02595,8.0,simulation,2511.0,simulation,2503.0,simulation
TADF-M-02596,9.0,simulation,2517.0,simulation,2508.0,simulation
TADF-M-02597,120.0,simulation,,,,
TADF-M-02598,170.0,simulation,,,,
TADF-M-01171,10.0,simulation,2520.0,simulation,2510.0,simulation
TADF-M-01172,80.0,simulation,2580.0,simulation,2500.0,simulation
TADF-M-02660,700.0,simulation,3250.0,simulation,2550.0,simulation
TADF-M-02661,590.0,simulation,3150.0,simulation,2560.0,simulation
TADF-M-02662,440.0,simulation,2870.0,simulation,2430.0,simulation
TADF-M-02663,,,2080.0,simulation,1800.0,simulation
TADF-M-02664,,,1930.0,simulation,1740.0,simulation
TADF-M-01369,170.0,simulation,2780.0,simulation,2610.0,simulation
TADF-M-01370,10.0,simulation,2620.0,simulation,2610.0,simulation
TADF-M-01371,10.0,simulation,2540.0,simulation,2530.0,simulation
TADF-M-01586,420.0,simulation,3120.0,simulation,2690.0,simulation
TADF-M-01587,370.0,simulation,3050.0,simulation,2670.0,simulation
TADF-M-01612,50.0,simulation,2760.0,simulation,2710.0,simulation
TADF-M-01613,50.0,simulation,2730.0,simulation,2680.0,simulation
TADF-M-01622,10.0,simulation,,,,
TADF-M-01623,960.0,simulation,,,,
TADF-M-01624,180.0,simulation,,,,
TADF-M-01625,1310.0,simulation,,,,
TADF-M-01626,100.0,simulation,,,,
TADF-M-01627,910.0,simulation,,,,
TADF-M-02675,39.0,simulation,,,,
TADF-M-02676,48.0,simulation,,,,
TADF-M-02677,51.0,simulation,,,,
TADF-M-01632,,,2990.0,simulation,2920.0,simulation
TADF-M-01633,,,3040.0,simulation,2920.0,simulation
TADF-M-00913,,,2780.0,simulation,2740.0,simulation
TADF-M-01645,,,2460.0,simulation,2110.0,simulation
TADF-M-00841,,,2230.0,simulation,2120.0,simulation
TADF-M-01646,,,2120.0,simulation,,
TADF-M-02690,,,2700.0,simulation,2520.0,simulation
TADF-M-02691,,,2790.0,simulation,2560.0,simulation
TADF-M-01634,-63.0,simulation,2996.0,simulation,3059.0,simulation
TADF-M-01635,161.0,simulation,2494.0,simulation,2333.0,simulation
TADF-M-01636,-14.0,simulation,2959.0,simulation,2973.0,simulation
TADF-M-01637,86.0,simulation,2281.0,simulation,2195.0,simulation
TADF-M-01638,114.0,simulation,2286.0,simulation,2172.0,simulation
TADF-M-01639,112.0,simulation,2718.0,simulation,2606.0,simulation
TADF-M-01640,59.0,simulation,2964.0,simulation,2905.0,simulation
TADF-M-01641,258.0,simulation,2359.0,simulation,2101.0,simulation
TADF-M-01642,249.0,simulation,1649.0,simulation,1400.0,simulation
TADF-M-01643,269.0,simulation,2310.0,simulation,2041.0,simulation
TADF-M-01644,209.0,simulation,1924.0,simulation,1715.0,simulation
TADF-M-01666,330.0,simulation,3130.0,simulation,2800.0,simulation
TADF-M-01667,150.0,simulation,2930.0,simulation,2780.0,simulation
TADF-M-01005,754.0,simulation,3638.0,simulation,2885.0,simulation
TADF-M-02692,731.0,simulation,3318.0,simulation,2587.0,simulation
TADF-M-00267,687.0,simulation,3910.0,simulation,3222.0,simulation
TADF-M-02693,777.0,simulation,3660.0,simulation,2883.0,simulation
TADF-M-02694,769.0,simulation,3361.0,simulation,2592.0,simulation
TADF-M-02695,678.0,simulation,3892.0,simulation,3214.0,simulation
TADF-M-01895,705.0,simulation,3515.0,simulation,2810.0,simulation
TADF-M-00268,638.0,simulation,3786.0,simulation,3148.0,simulation
TADF-M-02696,728.0,simulation,3549.0,simulation,2821.0,simulation
TADF-M-02697,622.0,simulation,3759.0,simulation,3138.0,simulation
TADF-M-02698,290.0,simulation,2770.0,simulation,2730.0,simulation
TADF-M-02699,70.0,simulation,2130.0,simulation,2290.0,simulation
TADF-M-02700,350.0,simulation,2250.0,simulation,2250.0,simulation
TADF-M-01672,60.0,simulation,,,,
TADF-M-01673,30.0,simulation,,,,
TADF-M-02701,140.0,simulation,2780.0,simulation,2920.0,simulation
TADF-M-00299,90.0,simulation,2740.0,simulation,2830.0,simulation
TADF-M-01682,300.0,simulation,2960.0,simulation,2940.0,simulation
TADF-M-01683,370.0,simulation,2970.0,simulation,2810.0,simulation
TADF-M-01684,490.0,simulation,2860.0,simulation,2780.0,simulation
TADF-M-00052,160.0,simulation,,,,
TADF-M-00053,150.0,simulation,,,,
TADF-M-01693,70.0,simulation,,,,
TADF-M-02722,,,2710.0,simulation,2640.0,simulation
TADF-M-02723,,,2940.0,simulation,2740.0,simulation
TADF-M-01702,80.0,simulation,2550.0,simulation,2470.0,simulation
TADF-M-01703,170.0,simulation,2670.0,simulation,2500.0,simulation
TADF-M-02724,,,2440.0,simulation,2370.0,simulation
TADF-M-02725,,,2240.0,simulation,2230.0,simulation
TADF-M-02726,,,2280.0,simulation,2260.0,simulation
TADF-M-02727,,,2240.0,simulation,2230.0,simulation
TADF-M-01706,10.0,simulation,2640.0,simulation,2630.0,simulation
TADF-M-01707,9.0,simulation,2607.0,simulation,2598.0,simulation
TADF-M-01708,7.0,simulation,2443.0,simulation,2436.0,simulation
TADF-M-00036,86.0,simulation,,,,
TADF-M-01715,9.0,simulation,,,,
TADF-M-01716,9.0,simulation,,,,
TADF-M-01750,170.0,simulation,3050.0,simulation,,
TADF-M-02364,430.0,simulation,3450.0,simulation,3020.0,simulation
TADF-M-02365,390.0,simulation,3510.0,simulation,3120.0,simulation
TADF-M-00075,520.0,simulation,3190.0,simulation,2670.0,simulation
TADF-M-00076,560.0,simulation,3080.0,simulation,2520.0,simulation
TADF-M-02749,90.0,simulation,,,,
TADF-M-02750,180.0,simulation,,,,
TADF-M-02751,250.0,simulation,,,,
TADF-M-02752,220.0,simulation,,,,
TADF-M-02753,,,3420.0,simulation,2880.0,simulation
TADF-M-02754,,,3270.0,simulation,2830.0,simulation
TADF-M-02755,,,3320.0,simulation,2820.0,simulation
TADF-M-02759,,,3230.0,simulation,2800.0,simulation
TADF-M-02760,,,3410.0,simulation,2620.0,simulation
TADF-M-02761,,,3500.0,simulation,2970.0,simulation
TADF-M-02762,90.0,simulation,2469.0,simulation,2379.0,simulation
TADF-M-00392,116.0,simulation,2535.0,simulation,2419.0,simulation
TADF-M-01772,,,3050.0,simulation,,
TADF-M-01774,,,3080.0,simulation,,
TADF-M-01775,,,3220.0,simulation,,
TADF-M-01776,,,3240.0,simulation,,
TADF-M-02772,,,2740.0,simulation,2730.0,simulation
TADF-M-02773,,,2810.0,simulation,2750.0,simulation
TADF-M-02774,,,2740.0,simulation,2710.0,simulation
TADF-M-01816,,,3250.0,simulation,2920.0,simulation
TADF-M-01817,,,3350.0,simulation,2920.0,simulation
TADF-M-01820,,,3130.0,simulation,2880.0,simulation
TADF-M-01821,,,3120.0,simulation,2940.0,simulation
TADF-M-01297,,,2510.0,simulation,2300.0,simulation
TADF-M-01298,,,2440.0,simulation,2300.0,simulation
TADF-M-01296,,,2510.0,simulation,2370.0,simulation
TADF-M-01822,,,2520.0,simulation,2380.0,simulation
TADF-M-01823,,,2410.0,simulation,2260.0,simulation
TADF-M-01824,,,2550.0,simulation,2410.0,simulation
TADF-M-02775,320.0,simulation,2630.0,simulation,2310.0,simulation
TADF-M-02776,410.0,simulation,2750.0,simulation,2340.0,simulation
TADF-M-02777,350.0,simulation,2680.0,simulation,2330.0,simulation
TADF-M-02779,60.0,simulation,2291.0,simulation,2274.0,simulation
TADF-M-02780,110.0,simulation,2279.0,simulation,2262.0,simulation
TADF-M-02781,230.0,simulation,2528.0,simulation,2431.0,simulation
TADF-M-02782,310.0,simulation,2452.0,simulation,2417.0,simulation
TADF-M-02783,490.0,simulation,2983.0,simulation,2177.0,simulation
TADF-M-02784,550.0,simulation,2966.0,simulation,2346.0,simulation
TADF-M-02785,500.0,simulation,2702.0,simulation,2234.0,simulation
TADF-M-02786,620.0,simulation,2249.0,simulation,1888.0,simulation
TADF-M-02794,20.0,simulation,,,,
TADF-M-02795,11.0,simulation,,,,
TADF-M-02796,21.0,simulation,,,,
TADF-M-01884,290.0,simulation,,,,
TADF-M-01885,340.0,simulation,,,,
TADF-M-01886,350.0,simulation,,,,
TADF-M-01887,350.0,simulation,,,,
TADF-M-01888,290.0,simulation,,,,
TADF-M-01863,290.0,simulation,,,,
TADF-M-01864,60.0,simulation,,,,
TADF-M-01897,160.0,simulation,,,,
TADF-M-01901,210.0,simulation,2290.0,simulation,2080.0,simulation
TADF-M-01902,250.0,simulation,2350.0,simulation,2100.0,simulation
TADF-M-00434,,,3550.0,simulation,2700.0,simulation
TADF-M-02821,,,2990.0,simulation,2600.0,simulation
TADF-M-01664,205.0,simulation,,,,
TADF-M-01949,34.0,simulation,,,,
TADF-M-02827,,,2427.0,simulation,2199.0,simulation
TADF-M-02828,,,2434.0,simulation,1979.0,simulation
TADF-M-02830,,,3140.0,simulation,,
TADF-M-02831,,,3010.0,simulation,,
TADF-M-02832,,,2970.0,simulation,,
TADF-M-02845,,,2900.0,simulation,2510.0,simulation
TADF-M-02846,,,2880.0,simulation,2500.0,simulation
TADF-M-01972,,,2920.0,simulation,2900.0,simulation
TADF-M-01973,,,3050.0,simulation,2890.0,simulation
TADF-M-01974,,,3140.0,simulation,2920.0,simulation
TADF-M-02861,250.0,simulation,,,,
TADF-M-02862,230.0,simulation,,,,
TADF-M-02863,230.0,simulation,,,,
TADF-M-00763,60.0,simulation,,,,
TADF-M-00764,23.0,simulation,,,,
TADF-M-00230,30.0,simulation,3080.0,simulation,3050.0,simulation
TADF-M-01991,20.0,simulation,2580.0,simulation,2560.0,simulation
TADF-M-00634,40.0,simulation,,,,
TADF-M-02018,70.0,simulation,,,,
TADF-M-02019,110.0,simulation,,,,
TADF-M-02020,160.0,simulation,,,,
TADF-M-02027,110.0,simulation,,,,
TADF-M-02028,420.0,simulation,,,,
TADF-M-02875,210.0,simulation,2420.0,simulation,2210.0,simulation
TADF-M-02876,100.0,simulation,2300.0,simulation,2200.0,simulation
TADF-M-02882,470.0,simulation,3420.0,simulation,2950.0,simulation
TADF-M-00327,710.0,simulation,3560.0,simulation,2850.0,simulation
TADF-M-02879,50.0,simulation,2150.0,simulation,2100.0,simulation
TADF-M-02880,30.0,simulation,1980.0,simulation,1950.0,simulation
TADF-M-00064,40.0,simulation,2620.0,simulation,2540.0,simulation
TADF-M-00067,70.0,simulation,2600.0,simulation,2530.0,simulation
TADF-M-02032,50.0,simulation,2560.0,simulation,2530.0,simulation
TADF-M-02051,130.0,simulation,,,,
TADF-M-02049,130.0,simulation,,,,
TADF-M-02052,140.0,simulation,,,,
TADF-M-02053,150.0,simulation,,,,
TADF-M-02884,,,2530.0,simulation,2250.0,simulation
TADF-M-02885,,,2660.0,simulation,2610.0,simulation
TADF-M-02886,,,2710.0,simulation,2570.0,simulation
TADF-M-02055,19.0,simulation,,,,
TADF-M-02057,4.0,simulation,,,,
TADF-M-02058,5.0,simulation,,,,
TADF-M-02059,7.0,simulation,,,,
TADF-M-02060,2.0,simulation,,,,
TADF-M-02061,3.0,simulation,,,,
TADF-M-02062,13.0,simulation,,,,
TADF-M-00335,,,3260.0,simulation,2900.0,simulation
TADF-M-00334,,,3320.0,simulation,2700.0,simulation
TADF-M-00341,,,3000.0,simulation,2600.0,simulation
TADF-M-01985,,,3450.0,simulation,2780.0,simulation
TADF-M-02093,80.0,simulation,2380.0,simulation,2290.0,simulation
TADF-M-02094,30.0,simulation,2320.0,simulation,2290.0,simulation
TADF-M-02095,20.0,simulation,2290.0,simulation,2260.0,simulation
TADF-M-02098,,,2260.0,simulation,2090.0,simulation
TADF-M-02099,,,2190.0,simulation,1910.0,simulation
TADF-M-02904,110.0,simulation,2940.0,simulation,2830.0,simulation
TADF-M-02905,70.0,simulation,2880.0,simulation,2810.0,simulation
TADF-M-02906,30.0,simulation,2870.0,simulation,2840.0,simulation
TADF-M-02113,,,,,2960.0,simulation
TADF-M-02114,,,,,2940.0,simulation
TADF-M-02115,,,,,2870.0,simulation
TADF-M-02136,20.0,simulation,,,2110.0,simulation
TADF-M-02120,,,,,2550.0,simulation
TADF-M-02121,,,3180.0,simulation,2530.0,simulation
TADF-M-02908,,,2480.0,simulation,2360.0,simulation
TADF-M-02909,,,2460.0,simulation,2360.0,simulation
TADF-M-02910,120.0,simulation,2740.0,simulation,2620.0,simulation
TADF-M-02911,110.0,simulation,2660.0,simulation,2550.0,simulation
TADF-M-02153,160.0,simulation,,,,
TADF-M-02154,20.0,simulation,2180.0,simulation,2160.0,simulation
TADF-M-02155,20.0,simulation,2270.0,simulation,2250.0,simulation
TADF-M-00767,26.0,simulation,3110.0,simulation,3084.0,simulation
TADF-M-02200,27.0,simulation,3114.0,simulation,3087.0,simulation
TADF-M-00768,30.0,simulation,3058.0,simulation,3028.0,simulation
TADF-M-00422,,,3920.0,simulation,2980.0,simulation
TADF-M-02917,,,3940.0,simulation,2980.0,simulation
TADF-M-02918,,,3920.0,simulation,2980.0,simulation
TADF-M-00457,,,3940.0,simulation,2970.0,simulation
TADF-M-02164,350.0,simulation,3250.0,simulation,2900.0,simulation
TADF-M-02165,220.0,simulation,3080.0,simulation,2870.0,simulation
TADF-M-02166,200.0,simulation,3120.0,simulation,2920.0,simulation
TADF-M-02171,150.0,simulation,3220.0,simulation,3070.0,simulation
TADF-M-02172,180.0,simulation,3260.0,simulation,3080.0,simulation
TADF-M-02173,100.0,simulation,3190.0,simulation,3090.0,simulation
TADF-M-02174,50.0,simulation,2750.0,simulation,2700.0,simulation
TADF-M-02175,50.0,simulation,2830.0,simulation,2780.0,simulation
TADF-M-02176,40.0,simulation,2720.0,simulation,2680.0,simulation
TADF-M-02928,270.0,simulation,3050.0,simulation,3070.0,simulation
